,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
41,1,urbano,solteiro,mulher,preto ou pardo,medio incompleto,ativo desocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,sim,sim,nao,nao,55,4,1,3,1.0,1.33333333333333
42,0,urbano,casado,homem,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,35,2,0,2,0.4,1.0
43,0,urbano,casado,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,nao,nao,nao,66,4,0,4,1.0,0.25
44,0,urbano,casado,homem,preto ou pardo,medio completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,nao,sim,sim,sim,57,3,0,3,0.5,0.666666666666667
45,0,urbano,solteiro,mulher,branco,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,nao,sim,nao,sim,nao,nao,59,2,0,2,0.5,1.0
46,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,39,4,0,4,1.0,0.75
47,1,urbano,solteiro,mulher,branco,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,alugado,nao,nao,sim,nao,nao,nao,nao,58,1,0,1,0.5,1.0
48,1,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,sim,sim,nao,nao,48,3,0,3,1.0,0.666666666666667
49,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,64,3,0,3,0.6,1.0
50,0,urbano,solteiro,mulher,branco,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,nao,sim,nao,sim,nao,nao,43,2,0,2,0.666666666666667,1.0
51,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,nao,sim,nao,sim,nao,nao,49,3,0,3,0.5,1.0
52,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,nao,sim,nao,sim,nao,sim,50,2,0,2,0.4,1.0
53,0,urbano,solteiro,mulher,branco,superior completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,68,2,0,2,0.222222222222222,1.0
54,1,urbano,casado,homem,preto ou pardo,medio completo,ativo desocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,nao,sim,sim,nao,sim,sim,nao,48,4,2,2,0.5,1.0
55,0,urbano,solteiro,mulher,branco,superior completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,proprio nao pago,nao,sim,sim,sim,sim,sim,nao,70,3,0,3,0.333333333333333,1.0
56,0,urbano,casado,mulher,preto ou pardo,medio incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,64,3,0,3,0.272727272727273,1.0
57,0,urbano,casado,mulher,branco,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,nao,sim,sim,sim,sim,sim,sim,42,5,2,3,0.625,1.33333333333333
58,0,urbano,casado,mulher,branco,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,nao,nao,31,3,1,2,0.75,1.0
59,0,urbano,casado,homem,branco,superior completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,63,2,0,2,0.166666666666667,1.0
60,0,urbano,casado,homem,preto ou pardo,superior completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,71,2,0,2,0.166666666666667,1.0
61,0,urbano,casado,mulher,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,51,4,0,4,0.444444444444444,1.0
62,0,urbano,solteiro,mulher,branco,superior completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,44,1,0,1,0.1,1.0
63,0,urbano,solteiro,mulher,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,sim,sim,sim,sim,sim,sim,nao,33,4,0,4,0.4,1.0
64,0,urbano,casado,homem,preto ou pardo,superior completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,nao,56,4,0,4,0.19047619047619,1.0
65,0,urbano,casado,homem,branco,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,50,3,0,3,0.3,1.0
66,0,urbano,solteiro,homem,preto ou pardo,superior completo,inativo,nao,apartamento,adequada,adequado,sim,adequada,alugado,sim,nao,sim,sim,sim,nao,nao,30,1,0,1,0.333333333333333,1.0
67,0,urbano,casado,homem,preto ou pardo,fundam completo,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,nao,sim,nao,sim,68,2,0,2,0.333333333333333,0.5
68,1,urbano,solteiro,mulher,branco,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,sim,sim,nao,nao,45,3,1,2,0.428571428571429,1.0
69,0,urbano,casado,homem,preto ou pardo,superior completo,inativo,sim,apartamento,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,nao,nao,74,2,0,2,0.5,1.0
70,0,urbano,casado,homem,preto ou pardo,superior completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,sim,nao,45,4,2,3,0.5,0.666666666666667
71,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,83,3,0,3,0.6,0.666666666666667
72,0,urbano,casado,mulher,preto ou pardo,medio incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,sim,nao,53,6,2,4,0.666666666666667,0.75
73,0,urbano,casado,mulher,preto ou pardo,fundam incompleto,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,nao,sim,67,6,0,6,0.75,1.0
74,1,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,nao,sim,nao,sim,31,4,2,2,0.571428571428571,1.0
75,0,urbano,casado,mulher,preto ou pardo,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,nao,nao,55,3,1,3,0.5,1.0
76,1,urbano,solteiro,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,nao,sim,nao,nao,32,3,2,1,1.0,2.0
